Division Number: 29
Division Date: 16 June 2021 - 19:10

Proceedings during the pandemic

Aye Count: 588
No Count: 25
Result: Question accordingly agreed.

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Allan Dorans","Scottish National Party","Ayr, Carrick and Cumnock","Aye","Owen Thompson"
"Nadine Dorries","Conservative","Mid Bedfordshire","Aye","Stuart Andrew"
"Steve Double","Conservative","St Austell and Newquay","Aye","Stuart Andrew"
"Stephen Doughty","Labour","Cardiff South and Penarth","Aye","Mark Tami"
"Peter Dowd","Labour","Bootle","Aye","Mark Tami"
"Oliver Dowden","Conservative","Hertsmere","Aye","Stuart Andrew"
"Jackie Doyle-Price","Conservative","Thurrock","Teller - Noes",""
"Richard Drax","Conservative","South Dorset","No","Stuart Andrew"
"Jack Dromey","Labour","Birmingham, Erdington","Aye","Mark Tami"
"Flick Drummond","Conservative","Meon Valley","Aye","Stuart Andrew"
"James Duddridge","Conservative","Rochford and Southend East","Aye","Stuart Andrew"
"Rosie Duffield","Labour","Canterbury","Aye","Mark Tami"
"David Duguid","Conservative","Banff and Buchan","Aye","Stuart Andrew"
"Iain Duncan Smith","Conservative","Chingford and Woodford Green","Aye","Stuart Andrew"
"Philip Dunne","Conservative","Ludlow","Aye","Stuart Andrew"
"Angela Eagle","Labour","Wallasey","Aye","Mark Tami"
"Maria Eagle","Labour","Garston and Halewood","Aye","Mark Tami"
"Colum Eastwood","Social Democratic & Labour Party","Foyle","Aye","Liz Saville Roberts"
"Mark Eastwood","Conservative","Dewsbury","Aye","Stuart Andrew"
"Jonathan Edwards","Independent","Carmarthen East and Dinefwr","Aye","Stuart Andrew"
"Ruth Edwards","Conservative","Rushcliffe","Aye","Stuart Andrew"
"Clive Efford","Labour","Eltham","Aye","Mark Tami"
"Julie Elliott","Labour","Sunderland Central","Aye","Mark Tami"
"Michael Ellis","Conservative","Northampton North","Aye","Stuart Andrew"
"Tobias Ellwood","Conservative","Bournemouth East","Aye","Stuart Andrew"
"Chris Elmore","Labour","Ogmore","Aye","Mark Tami"
"Natalie Elphicke","Conservative","Dover","Aye","Stuart Andrew"
"Florence Eshalomi","Labour","Vauxhall","Aye","Mark Tami"
"Bill Esterson","Labour","Sefton Central","Aye","Mark Tami"
"George Eustice","Conservative","Camborne and Redruth","Aye","Stuart Andrew"
"Chris Evans","Labour","Islwyn","Aye","Mark Tami"
"Luke Evans","Conservative","Bosworth","Aye","Stuart Andrew"
"Nigel Evans","Deputy Speaker","Ribble Valley","No Vote Recorded",""
"David Evennett","Conservative","Bexleyheath and Crayford","Aye","Stuart Andrew"
"Ben Everitt","Conservative","Milton Keynes North","No Vote Recorded",""
"Michael Fabricant","Conservative","Lichfield","Aye","Stuart Andrew"
"Laura Farris","Conservative","Newbury","Aye","Stuart Andrew"
"Tim Farron","Liberal Democrat","Westmorland and Lonsdale","Aye","Wendy Chamberlain"
"Stephen Farry","Alliance","North Down","Aye","Wendy Chamberlain"
"Simon Fell","Conservative","Barrow and Furness","Aye","Stuart Andrew"
"Marion Fellows","Scottish National Party","Motherwell and Wishaw","Aye",""
"Margaret Ferrier","Independent","Rutherglen and Hamilton West","Aye","Stuart Andrew"
"John Finucane","Sinn Féin","Belfast North","No Vote Recorded",""
"Colleen Fletcher","Labour","Coventry North East","Aye","Mark Tami"
"Katherine Fletcher","Conservative","South Ribble","Aye","Stuart Andrew"
"Mark Fletcher","Conservative","Bolsover","Aye","Stuart Andrew"
"Nick Fletcher","Conservative","Don Valley","Aye","Stuart Andrew"
"Stephen Flynn","Scottish National Party","Aberdeen South","Aye","Owen Thompson"
"Vicky Ford","Conservative","Chelmsford","Aye","Stuart Andrew"
"Kevin Foster","Conservative","Torbay","Aye","Stuart Andrew"
"Yvonne Fovargue","Labour","Makerfield","Aye","Mark Tami"
"Liam Fox","Conservative","North Somerset","Aye","Stuart Andrew"
"Vicky Foxcroft","Labour","Lewisham, Deptford","Aye","Mark Tami"
"Mary Kelly Foy","Labour","City of Durham","Aye","Zarah Sultana"
"Mark Francois","Conservative","Rayleigh and Wickford","No","Stuart Andrew"
"Lucy Frazer","Conservative","South East Cambridgeshire","Aye","Stuart Andrew"
"George Freeman","Conservative","Mid Norfolk","Aye","Stuart Andrew"
"Mike Freer","Conservative","Finchley and Golders Green","Aye","Stuart Andrew"
"Richard Fuller","Conservative","North East Bedfordshire","Aye","Stuart Andrew"
"Gill Furniss","Labour","Sheffield, Brightside and Hillsborough","Aye","Mark Tami"
"Marcus Fysh","Conservative","Yeovil","No Vote Recorded",""
"Roger Gale","Conservative","North Thanet","Aye","Stuart Andrew"
"Barry Gardiner","Labour","Brent North","Aye","Mark Tami"
"Mark Garnier","Conservative","Wyre Forest","Aye","Stuart Andrew"
"Nusrat Ghani","Conservative","Wealden","Aye","Stuart Andrew"
"Nick Gibb","Conservative","Bognor Regis and Littlehampton","Aye","Stuart Andrew"
"Patricia Gibson","Scottish National Party","North Ayrshire and Arran","Aye","Owen Thompson"
"Peter Gibson","Conservative","Darlington","Aye","Stuart Andrew"
"Jo Gideon","Conservative","Stoke-on-Trent Central","Aye","Stuart Andrew"
"Michelle Gildernew","Sinn Féin","Fermanagh and South Tyrone","No Vote Recorded",""
"Preet Kaur Gill","Labour","Birmingham, Edgbaston","Aye","Mark Tami"
"Paul Girvan","Democratic Unionist Party","South Antrim","No","Jim Shannon"
"John Glen","Conservative","Salisbury","Aye","Stuart Andrew"
"Mary Glindon","Labour","North Tyneside","Aye",""
"Robert Goodwill","Conservative","Scarborough and Whitby","Aye","Stuart Andrew"
"Michael Gove","Conservative","Surrey Heath","Aye","Stuart Andrew"
"Patrick Grady","Scottish National Party","Glasgow North","Aye","Owen Thompson"
"Richard Graham","Conservative","Gloucester","Aye","Stuart Andrew"
"Helen Grant","Conservative","Maidstone and The Weald","Aye","Stuart Andrew"
"Peter Grant","Scottish National Party","Glenrothes","Aye","Owen Thompson"
"James Gray","Conservative","North Wiltshire","Aye","Stuart Andrew"
